,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID3116900903,1,7,4,-37.7738026,144.9836466,-37.8065078,145.001584,9283.0,2018-05-02,03:59:10,2842.499999999999,4:46:32,25.94
ID5886275296,2,3,3,-37.8158343,145.04645,-37.8169773,144.9768829,6881.0,2018-01-06,21:22:45,2006.6400000000012,21:56:11,169.99
ID1899848154,0,4,5,-37.8166969,145.0142424,-37.7990373,144.9326219,8606.0,2018-02-15,06:05:08,2130.7200000000003,6:40:38,5.69
ID1237309710,0,3,2,-37.8183744,144.9685475,-37.8128407,144.9398968,3378.0,2018-01-03,04:20:56,806.88,4:34:22,12.93
ID3168797568,1,2,3,-37.8131151,144.9386009,-37.8140381,144.9713121,4024.0,2018-01-07,22:51:24,1015.2600000000003,23:08:19,20.98
ID3905308350,1,1,8,-37.8088679,144.9664654,-37.8158343,145.04645,7139.0,2018-02-01,21:54:30,2067.6,22:28:57,22.49
ID5541874337,2,1,3,-37.8114157,144.9730729,-37.8173465,145.0054973,3351.0,2018-01-04,05:22:25,821.1600000000002,5:36:06,84.9
ID5897208891,2,5,9,-37.8092777,144.9291463,-38.1109156,144.6541725,43421.0,2018-07-24,11:37:16,10400.699999999999,14:30:36,705.08
ID1343657346,0,9,8,-38.1109156,144.6541725,-37.8158343,145.04645,51032.0,2018-02-07,05:21:03,12681.060000000005,8:52:24,27.98
ID1231957253,0,5,3,-37.8090417,144.9295415,-37.8238279,144.9838022,5679.0,2018-04-15,05:16:29,1427.0400000000006,5:40:16,17.37
ID1164962261,0,6,5,-37.7907967,144.985865,-37.8063815,144.937708,6161.0,2018-04-24,05:07:00,1795.02,5:36:55,14.33
ID3389555099,1,6,9,-37.8200819,144.9685729,-38.1109156,144.6541725,44025.0,2018-02-05,16:13:43,10602.119999999999,19:10:25,54.54
ID3714026299,1,5,6,-37.8090298,144.9369002,-37.7874325,144.9803767,6117.0,2018-02-10,19:20:33,1543.2600000000004,19:46:16,20.3
ID1859711333,0,2,5,-37.8143832,144.9379851,-37.8081448,144.9289924,1390.0,2018-04-08,08:50:32,422.03999999999996,8:57:34,7.78
ID3987914459,1,8,3,-37.8158343,145.04645,-37.8007681,144.9700039,7465.0,2018-06-20,22:34:28,2152.8599999999997,23:10:20,23.59
ID3634588969,1,6,7,-37.7908183,144.9857929,-37.824583,144.9459414,6178.0,2018-06-06,18:19:18,1651.38,18:46:49,16.94
ID1452814420,0,1,4,-37.8133795,144.9647797,-38.1109156,144.6541725,43639.0,2018-07-21,23:03:15,10491.599999999999,1:58:06,29.81
ID3825365731,1,3,8,-37.8213072,144.9780102,-37.8158343,145.04645,7100.0,2018-01-04,21:04:57,2089.1400000000003,21:39:46,24.04
ID5938668944,2,8,4,-37.807202,145.0266373,-37.8056758,144.9318674,9131.0,2018-02-04,09:23:28,2353.979999999999,10:02:41,177.18
ID5479788637,2,9,2,-38.1109156,144.6541725,-37.8045831,144.9353925,43482.0,2018-02-23,00:39:26,10415.639999999996,3:33:01,723.94
ID1404973624,0,3,9,-37.8193592,144.983149,-38.1109156,144.6541725,45377.0,2018-02-22,22:10:26,10921.8,1:12:27,25.54
ID1348529420,0,5,9,-37.809274,144.9375666,-38.1109156,144.6541725,43023.0,2018-05-07,18:37:32,10298.279999999999,21:29:10,21.16
ID3442789885,1,5,4,-37.8065701,144.9309837,-37.810388,144.9990886,6286.0,2018-07-13,08:08:20,1623.8999999999996,8:35:23,13.24
ID1726208289,0,4,2,37.8041851,145.0108945,-37.8197307,144.9409712,7456.0,2018-05-25,22:34:12,1904.88,23:05:56,13.97
ID1984095425,0,3,2,-37.823277,144.9700222,-37.8118639,144.938485,3738.0,2018-01-12,05:44:42,949.02,6:00:31,12.49
ID1197660261,0,5,4,37.8187356,144.9166239,-37.7993735,144.9931864,7967.0,2018-04-18,17:34:34,2088.060000000001,18:09:22,10.56
ID1793207251,0,3,5,37.8152811,144.9748412,-37.8041264,144.9349167,4636.0,2018-07-15,08:04:30,1101.0599999999997,8:22:51,8.1
ID5111529081,2,4,8,-37.802871,145.0166333,-37.8158343,145.04645,5851.0,2018-03-16,19:15:14,1772.1600000000003,19:44:46,139.15
ID5745366815,2,7,4,37.8618349,144.905716,-37.7989484,145.0012841,12513.0,2018-04-18,18:19:08,3955.1399999999976,19:25:03,285.92
ID3778125919,1,2,5,37.8149435,144.9446672,-37.8149648,144.9275663,2660.0,2018-06-24,03:59:44,639.5400000000009,4:10:23,19.83
ID1274154856,0,7,6,-37.8618349,144.905716,-37.773845,144.9836895,13169.0,2018-05-03,21:58:33,3863.579999999999,23:02:56,17.51
ID3447436864,1,6,5,-37.7874325,144.9803767,-37.8164324,144.9284395,7581.0,2018-03-15,09:52:14,1920.480000000001,10:24:14,12.8
ID3691211982,1,9,6,-38.1109156,144.6541725,-37.7874325,144.9803767,47033.0,2018-04-22,06:38:48,11355.660000000005,9:48:03,58.95
ID5180492014,2,7,4,-37.8618349,144.905716,-37.8117735,145.0020003,11108.0,2018-05-09,00:01:46,3599.0399999999977,1:01:45,269.91
ID1645957218,0,7,2,-37.8618349,144.905716,-37.817062,144.9317439,10842.0,2018-02-11,12:04:14,3581.399999999999,13:03:55,16.41
ID3389512992,1,4,9,-37.8109101,145.0041604,-38.1109156,144.6541725,47273.0,2018-05-27,21:00:30,11446.859999999999,0:11:16,67.26
ID3363230241,1,2,8,-37.8217346,144.936762,-37.8158343,145.04645,10544.0,2018-03-26,04:39:56,3002.1600000000008,5:29:58,27.01
ID5261917491,2,7,6,-37.8618349,144.905716,-37.7874421,144.9804091,11630.0,2018-06-07,10:54:14,3678.539999999999,11:55:32,257.44
ID1888664935,0,7,8,-37.8618349,144.905716,-37.8158343,145.04645,15151.0,2018-01-12,09:24:10,4911.599999999998,10:46:01,8.59
ID5605142514,2,5,1,-37.8110018,144.9266089,-37.8139829,144.9546832,2995.0,2018-05-22,23:38:41,765.3000000000003,23:51:26,80.49
ID1409869713,0,4,9,-37.8023074,144.9972956,-38.1109156,144.6541725,47224.0,2018-01-23,09:40:09,11420.46,12:50:29,18.22
ID1216093154,0,9,8,-38.1109156,144.6541725,-37.8158343,145.04645,51032.0,2018-03-01,14:31:50,12681.060000000005,18:03:11,23.94
ID1434227437,0,4,8,-37.7999508,144.9891929,37.8158343,145.04645,6235.0,2018-01-25,02:14:33,1926.3000000000002,2:46:39,14.15
ID1841029393,0,2,8,-37.8251775,144.9460601,37.807202,145.0266373,8421.0,2018-02-12,20:53:46,2142.78,21:29:28,11.2
ID1791382724,0,7,8,-37.8618349,144.905716,-37.8158343,145.04645,15151.0,2018-02-15,21:25:48,4911.599999999998,22:47:39,17.55
ID1541326943,0,3,2,-37.8122155,144.9858493,-37.8093137,144.9339968,5140.0,2018-03-28,18:25:50,1245.0,18:46:35,8.94
ID1759881814,0,1,4,-37.8032789,144.9464093,-37.8162593,145.0147315,7755.0,2018-07-27,17:59:05,1969.2,18:31:54,9.25
ID1429768825,0,9,7,-38.1109156,144.6541725,-37.8618349,144.905716,50797.0,2018-02-18,06:38:38,13204.979999999994,10:18:42,23.08
ID3597120470,1,9,4,-38.1109156,144.6541725,-37.7973074,145.0090702,48696.0,2018-03-01,12:11:28,11871.360000000002,15:29:19,61.72
ID3243622421,1,1,3,-37.8104752,144.9612727,-37.8219714,144.99404,3744.0,2018-04-25,14:01:40,937.14,14:17:17,12.81
ID1689028763,0,4,1,-37.8105799,145.0007616,-37.8205981,144.9573088,4440.0,2018-01-13,00:01:30,1115.0400000000002,0:20:05,17.1
ID1270044984,0,6,2,-37.7738026,144.9836466,37.8161757,144.9452946,9311.0,2018-06-28,02:00:31,2875.9799999999977,2:48:26,15.94
ID1916110599,0,6,5,-37.773845,144.9836895,37.8024029,144.9269069,7398.0,2018-03-11,03:03:02,1696.1399999999996,3:31:18,17.26
ID3249544283,1,9,2,-38.1109156,144.6541725,-37.8129499,144.9392879,42470.0,2018-07-23,04:15:38,10183.199999999995,7:05:21,57.33
ID5822299977,2,7,1,-37.8618349,144.905716,37.8142319,144.9728163,8523.0,2018-04-06,05:48:32,2901.6599999999994,6:36:53,223.7
ID5557361655,2,1,9,-37.818891,144.9533698,-38.1109156,144.6541725,42451.0,2018-05-24,03:49:00,10217.039999999999,6:39:17,711.49
ID3570573492,1,2,1,-37.8249606,144.9495295,-37.8200398,144.958327,1199.0,2018-04-14,13:30:59,300.66000000000014,13:35:59,14.25
ID5830875694,2,3,1,-37.8161009,144.9726103,-37.7990965,144.9430502,3717.0,2018-06-25,04:05:23,968.5800000000007,4:21:31,94.18
ID5245688619,2,6,9,-37.773845,144.9836895,-38.1109156,144.6541725,48197.0,2018-03-05,09:20:02,11519.399999999998,12:32:01,779.8
ID1412535745,0,8,3,-37.8158343,145.04645,-37.8267979,144.9822176,8306.0,2018-03-09,04:06:25,2427.1600000000003,4:46:15,14.46
ID3253404384,1,2,6,-37.8209827,144.9475878,-37.7874421,144.9804091,5499.0,2018-03-09,08:56:51,1414.88,9:19:05,9.41
ID3574708636,1,2,1,-37.8256534,144.9298935,-37.8173309,144.9522948,8826.0,2018-05-23,02:47:06,2229.1799999999994,3:24:15,24.18
ID3180588871,1,4,3,-37.8002885,144.9975638,-37.8207002,144.9849092,3053.0,2018-02-03,18:22:21,821.2200000000005,18:36:02,17.5
ID5538431278,2,6,3,-37.7907967,144.985865,-37.8138875,144.971597,3365.0,2018-03-02,06:15:57,958.0799999999997,6:31:55,77.12
ID5695954470,2,1,3,-37.8115146,144.9646816,-37.8208388,144.9694007,1206.0,2018-07-14,15:34:53,344.76,15:40:34,50.55
ID5492998419,2,3,9,-37.8124393,144.9734909,-38.1109156,144.6541725,44350.0,2018-01-19,21:41:43,10690.16,0:39:51,742.6
ID3881156062,1,3,5,-37.8193867,144.9839013,-37.8089146,144.9354364,5140.0,2018-04-15,11:03:25,1233.8999999999999,11:23:58,13.86
ID3299532134,1,9,2,-38.1109156,144.6541725,-37.8122644,144.937572,42642.0,2018-04-05,12:18:34,10263.159999999996,15:08:51,54.55
ID5180514055,2,6,2,-37.7738026,144.9836466,-37.8175106,144.9487589,9403.0,2018-07-28,01:57:00,2890.839999999999,2:44:30,227.73
ID3477926128,1,3,7,-37.8213835,144.9694675,-37.8618349,144.905716,7771.0,2018-07-10,18:31:20,2755.6,19:16:29,21.0
ID1984431955,0,5,7,-37.8056758,144.9318674,-37.8618349,144.905716,11019.0,2018-06-11,16:32:05,3504.1000000000004,17:30:40,11.86
ID3434059484,1,8,7,-37.807202,145.0266373,-37.8618349,144.905716,13986.0,2018-04-10,09:34:34,4353.280000000001,10:46:12,25.33
ID5463823113,2,4,7,-37.8097476,144.9931516,-37.8618349,144.905716,10450.0,2018-04-13,20:20:03,3465.9,21:17:48,250.36
ID1855502491,0,3,5,-37.8241958,144.9840063,-37.7988356,144.9358024,5976.0,2018-04-04,08:46:11,1608.9800000000007,9:12:00,5.3
ID1834018389,0,7,2,-37.8618349,144.905716,-37.822044,144.9507315,8587.0,2018-01-04,18:56:46,2951.7599999999993,19:45:57,11.36
ID3214004931,1,8,6,-37.8158343,145.04645,-37.7874325,144.9803767,8361.0,2018-01-12,00:17:58,2438.2200000000003,0:58:36,21.78
ID3331723989,1,3,8,-37.8150449,144.9886685,-37.807202,145.0266373,4473.0,2018-05-04,14:15:58,1049.2800000000004,14:33:27,13.67
ID3128831827,1,6,8,-37.7907967,144.985865,-37.8158343,145.04645,7470.0,2018-04-25,23:15:28,2302.38,23:53:50,22.05
ID5806917604,2,2,7,-37.813313,144.939603,-37.8618349,144.905716,10199.0,2018-02-01,02:07:13,3357.6000000000004,3:03:10,254.14
ID1549003223,0,2,3,-37.811367,144.937068,-37.8241449,144.990571,5913.0,2018-05-08,09:53:34,1426.5000000000002,10:17:20,3.71
ID1293705374,0,5,4,-37.804485,144.9266743,-37.8127565,145.0102815,7878.0,2018-01-13,22:06:07,2065.4399999999996,22:40:32,18.57
ID1848524164,0,4,8,-37.8020363,145.0041224,-37.8158343,145.04645,5355.0,2018-01-18,20:16:23,1673.04,20:44:16,9.68
ID3825994991,1,7,9,-37.8618349,144.905716,-38.1109156,144.6541725,50797.0,2018-03-10,04:07:56,13173.359999999999,7:48:48,75.55
ID5246671181,2,1,3,-37.8123879,144.9738407,-37.8168075,145.0073593,3305.0,2018-05-13,23:45:12,848.1,23:59:20,93.93
ID1326267007,0,9,1,-38.1109156,144.6541725,-37.8052407,144.9723874,44643.0,2018-06-09,10:38:40,10815.660000000009,13:38:55,22.35
ID5138814094,2,5,1,-37.816662,144.9273907,-37.8082246,144.9714019,5163.0,2018-07-09,00:39:40,1315.4400000000005,3:29:15,116.3
ID5754133251,2,7,3,-37.8618349,144.905716,-37.8130695,144.9864823,9612.0,2018-06-28,18:04:22,3256.139999999998,22:31:40,240.01
ID1131521142,0,3,1,-37.8091352,144.981439,-37.813465,144.9600851,2163.0,2018-03-06,02:43:10,527.5200000000001,7:13:23,12.5
ID1735859616,0,3,7,-37.8243024,144.9694919,-37.8618349,144.905716,8114.0,2018-01-10,19:25:11,2816.16,20:12:25,9.83
ID5124328169,2,6,7,-37.7874421,144.9804091,-37.8618349,144.905716,11630.0,2018-04-01,20:44:21,3697.0200000000013,21:45:58,274.03
ID1330698608,0,2,9,-37.8121742,144.9381852,-38.1109156,144.6541725,43118.0,2018-02-15,14:28:58,10333.98,17:48:02,19.65
ID5927785853,2,3,8,-37.8201259,144.9803681,-37.8158343,145.04645,7153.0,2018-04-05,07:07:26,2052.3600000000006,11:24:14,150.19
ID3504958325,1,2,9,-37.8214111,144.9456167,-38.1109156,144.6541725,41684.0,2018-06-10,18:28:21,10027.199999999999,0:27:45,56.52
ID5209135749,2,8,7,-37.8158343,145.04645,-37.8618349,144.905716,15151.0,2018-05-19,09:57:55,4917.479999999999,10:35:46,348.42
ID1782618853,0,8,4,-37.807202,145.0266373,-37.8067976,144.9983802,2880.0,2018-05-11,00:32:05,727.1400000000001,0:44:12,13.23
ID3922149472,1,2,1,-37.8136159,144.9401528,-37.8140337,144.9388876,154.0,2018-03-10,07:39:40,38.46000000000001,11:56:32,9.46
ID1369962577,0,1,9,-37.8148844,144.9376827,-38.1109156,144.6541725,42604.0,2018-06-20,00:21:52,10208.699999999999,3:12:00,25.42
ID5673270715,2,6,5,-37.7874421,144.9804091,-37.8058767,144.9295578,6979.0,2018-05-15,20:59:55,1866.36,21:31:01,145.64
ID1885469348,1,4,5,-37.811921,145.0156991,-37.8071465,144.9336525,8360.0,2018-02-15,05:42:35,2084.4599999999987,6:17:19,14.09
ID3881355787,1,5,7,-37.8081329,144.9339054,-37.8618349,144.905716,10861.0,2018-04-04,02:29:09,3508.1400000000003,3:27:37,28.95
ID5498247075,2,7,6,-37.8618349,144.905716,-37.7874325,144.9803767,11633.0,2018-06-17,02:55:29,3645.299999999998,3:56:14,280.81
ID5613771953,2,6,9,-37.7874325,144.9803767,-38.1109156,144.6541725,47033.0,2018-05-07,10:32:11,11350.5,13:41:21,768.11
ID1448058665,0,2,6,-37.8151327,144.9449192,-37.7738026,144.9836466,9196.0,2018-01-20,09:47:58,2838.54,10:35:16,9.69
ID3377606537,1,3,4,-37.8143103,144.9743508,-37.8010046,145.0144797,4724.0,2018-02-15,10:53:41,1264.2000000000003,11:14:45,9.3
ID1701214714,2,5,2,-37.8052062,144.933888,-37.8160234,144.9370723,1602.0,2018-05-19,05:19:18,398.52,5:25:56,15.42
ID3362055374,3,4,7,-37.8081941,144.9998632,-37.8618349,144.905716,11309.0,2018-06-26,03:18:26,3653.5200000000004,4:19:19,28.4
ID1118567916,0,7,6,-37.8618349,144.905716,-37.7874325,144.9803767,11633.0,2018-06-06,04:43:22,3645.299999999998,5:44:07,15.85
ID1983097682,0,4,8,-37.8131128,145.0112186,-37.8158343,145.04645,3706.0,2018-03-16,15:41:53,1226.58,16:02:19,9.17
ID1208828616,3,9,2,-38.1109156,144.6541725,-37.8186837,144.9427816,41229.0,2018-04-09,16:12:56,9894.96,18:57:50,20.5
ID1574949198,1,3,4,-37.8116114,144.9839132,-37.8063019,144.9973646,1949.0,2018-07-06,00:19:15,483.4799999999999,0:27:18,12.57
ID3895195311,1,1,7,-37.8072521,144.9453412,-37.8618349,144.905716,10050.0,2018-03-12,09:11:48,3355.92,10:07:43,20.46
ID1854884366,2,2,7,-37.815892,144.9382513,-37.8618349,144.905716,10337.0,2018-02-15,22:42:54,3387.2400000000002,23:39:21,14.98
ID3988603151,2,3,2,-37.8100036,144.9953046,-37.8113309,144.9294072,6890.0,2018-01-07,22:57:08,1778.1599999999999,23:26:46,24.62
ID3950495533,1,9,1,-38.1109156,144.6541725,-37.8105056,144.9376672,42650.0,2018-03-27,02:05:47,10220.459999999997,4:56:07,59.0
ID1684003468,0,4,7,-37.8016696,145.0035507,-37.8618349,144.905716,12074.0,2018-06-05,13:54:06,3861.240000000001,14:58:27,12.39
ID1248152001,2,4,6,-37.8109953,145.000582,-37.7738026,144.9836466,9538.0,2018-06-08,13:30:25,2899.38,14:18:44,11.52
ID5863570328,2,2,6,-37.8177909,144.9321877,-37.7738026,144.9836466,9607.0,2018-04-26,12:33:30,2754.54,13:19:24,204.37
ID1774061160,0,2,9,-37.8205187,144.9511189,-38.1109156,144.6541725,42222.0,2018-01-25,01:44:42,10145.46,4:33:47,25.72
ID3500316227,1,4,9,-37.7998614,144.9932054,-38.1109156,144.6541725,47009.0,2018-07-02,23:15:20,11381.099999999999,2:25:01,62.48
ID1178160062,0,2,3,-37.8206841,144.9413672,-37.819452,145.0037269,5856.0,2018-05-05,19:01:03,1556.4599999999996,19:26:59,12.58
ID1657027395,0,2,5,-37.8162309,144.9451079,-37.812911,144.9282021,2258.0,2018-04-15,02:58:14,529.44,3:07:03,14.44
ID1672248705,0,1,6,-37.8054033,144.9736477,-37.7907967,144.985865,2522.0,2018-07-09,03:25:13,714.1199999999999,3:37:07,13.25
ID3357182644,1,9,6,-38.1109156,144.6541725,-37.773845,144.9836895,48197.0,2018-05-16,23:15:05,11495.340000000007,2:26:40,63.8
ID3745871299,1,4,2,-37.8140225,145.0146027,-37.8242103,144.9368886,7915.0,2018-01-10,20:43:44,2120.6400000000017,20:08:24,18.29
ID3545976158,1,4,2,-37.8039021,145.0039682,-37.8129736,144.9349858,6902.0,2018-01-16,14:51:12,1745.039999999999,14:22:07,17.0
ID1868148728,0,5,3,-37.8030115,144.9295058,-37.8220526,144.9829349,5952.0,2018-06-23,03:45:45,1467.9000000000008,4:10:12,17.67
ID1767870478,0,7,6,-37.8618349,144.905716,-37.7738026,144.9836466,16033.0,2018-05-27,1:28:49,5320.6799999999985,00:00:09,23.73
ID3957038003,1,7,1,-37.8618349,144.905716,-37.8044414,144.9487056,9908.0,2018-06-25,16:06:20,3283.2599999999966,17:01:03,22.84
ID3748602703,1,9,4,-38.1109156,144.6541725,-37.816377,145.0088781,47717.0,2018-06-21,06:54:34,11465.220000000005,10:05:39,55.71
ID1472265605,0,5,3,-37.8152437,144.9276957,-37.8157135,144.9983034,7962.0,2018-07-19,16:53:04,1971.7200000000005,17:25:55,8.99
ID3747187176,1,1,2,-37.8033318,144.9490894,-37.8137364,144.936811,2397.0,2018-03-11,6:04:58,596.3400000000003,05:55:02,20.62
ID1545343984,0,8,9,-37.8158343,145.04645,-38.1109156,144.6541725,51032.0,2018-02-16,09:49:57,12681.059999999998,13:21:18,18.42
ID5451784328,2,8,7,-37.807202,145.0266373,-37.8618349,144.905716,13986.0,2018-03-27,20:49:16,4298.280000000001,19:37:38,308.66
ID3966069882,1,9,5,-38.1109156,144.6541725,-37.8090298,144.9369002,42958.0,2018-02-17,12:38:50,10282.679999999995,15:30:12,58.14
ID1876845554,0,3,2,-37.8186886,144.9839778,-37.8115739,144.9299113,6383.0,2018-07-10,10:44:15,1552.7399999999998,11:10:07,3.62
ID3409051483,1,4,7,-37.8032475,144.9890489,-37.8618349,144.905716,10690.0,2018-05-09,21:44:38,3553.92,22:43:51,27.24
ID3409269806,1,1,4,-37.7991756,144.9635001,-37.802294,144.990587,2725.0,2018-06-04,10:59:07,668.64,11:10:15,8.85
ID5275404451,2,9,8,-38.1109156,144.6541725,-37.8158343,145.04645,51032.0,2018-03-16,07:05:15,12681.060000000005,10:36:36,857.05
ID1142794060,0,8,3,-37.8158343,145.04645,-37.8109953,145.000582,4119.0,2018-03-03,04:19:54,1323.7800000000002,4:41:57,18.01
ID1487609235,0,6,1,-37.7738026,144.9836466,-37.8119474,144.9564969,8124.0,2018-05-12,04:31:33,2575.199999999998,5:14:28,16.67
ID3926686807,1,2,4,-37.8255049,144.9289157,-37.8054851,145.0044602,11245.0,2018-07-23,01:23:50,2807.8199999999997,2:10:37,26.45
ID5307940421,2,2,9,-37.8140169,144.9396162,-38.1109156,144.6541725,42416.0,2018-07-01,11:47:02,10167.599999999999,08:57:35,696.94
ID1875780181,0,9,8,-38.1109156,144.6541725,-37.8158343,145.04645,51032.0,2018-04-16,12:14:58,12681.060000000005,15:46:19,26.4
ID1631693085,0,3,6,-37.8174985,145.0055245,-37.773845,144.9836895,7683.0,2018-02-24,15:24:41,1737.1800000000007,14:55:44,13.21
ID5780145614,2,2,7,-37.8148053,144.9448602,-37.8618349,144.905716,9590.0,2018-07-13,13:23:03,3189.6000000000004,14:16:12,233.88
ID3296141015,1,4,9,-37.8144638,145.007796,-38.1109156,144.6541725,47725.0,2018-02-05,07:50:00,11426.34,11:00:26,53.88
ID3193841203,1,7,3,-37.8618349,144.905716,-37.8177501,144.9918018,9852.0,2018-05-18,12:39:49,3210.659999999999,11:46:19,17.47
ID1807212196,0,2,5,-37.822891,144.9364294,-37.8073409,144.9364254,2775.0,2018-07-11,0:45:04,674.16,00:33:50,13.63
ID1260725627,0,5,4,-37.8050725,144.9277251,-37.8054305,144.9995637,7367.0,2018-06-20,20:06:32,1917.1199999999997,20:38:29,12.07
ID1546431038,0,4,1,-37.8004558,144.9901827,-37.81264,144.9651106,3206.0,2018-05-03,0:24:08,778.32,00:11:10,11.9
ID1805950750,0,7,5,-37.8618349,144.905716,-37.8030876,144.9296926,11371.0,2018-02-09,19:12:14,3513.8999999999987,20:10:47,14.63
ID3592546881,1,2,5,-37.8186837,144.9427816,-37.8000203,144.9284282,3126.0,2018-05-10,05:31:25,725.5199999999999,5:43:30,16.6
ID1959463567,0,3,6,-37.8192448,145.0052222,-37.7738026,144.9836466,10594.0,2018-18-05,18:10:44,3222.2400000000007,19:04:26,10.92
ID3198565330,1,6,4,-37.7874421,144.9804091,-37.8063852,145.0100327,4677.0,2018-17-03,08:45:13,1215.66,9:05:28,14.86
ID3589604721,1,9,1,-38.1109156,144.6541725,-37.8116708,144.9527928,42880.0,2018-07-18,01:49:47,10364.880000000008,4:42:31,57.66
ID3641719115,1,6,4,-37.7908183,144.9857929,-37.8048211,144.993781,2354.0,2018-06-20,00:25:39,576.78,0:35:15,15.35
ID3177072419,1,8,2,-37.8158343,145.04645,-37.8254121,144.9530163,9103.0,2018-07-05,21:21:17,2672.699999999999,22:05:49,24.61
ID3841509851,1,3,1,-37.8183459,144.9793004,-37.8164124,144.9558028,2547.0,2018-01-10,09:44:48,612.0600000000002,9:55:00,6.43
ID1328595966,0,3,7,-37.8239891,144.9846665,-37.8618349,144.905716,8842.0,2018-16-05,10:32:42,2932.44,11:21:34,8.96
ID1417529712,0,1,5,-37.8073143,144.9733224,-37.8002199,144.9349193,5773.0,2018-04-20,20:33:28,1465.0800000000002,20:57:53,8.53
ID1918331283,0,7,8,-37.8618349,144.905716,-37.807202,145.0266373,13986.0,2018-01-14,18:43:18,4292.399999999998,19:54:50,16.41
ID3942610653,1,2,9,-37.8110018,144.9266089,-38.1109156,144.6541725,43808.0,2018-02-01,03:55:35,10507.74,6:50:42,58.35
ID5575311507,2,6,9,-37.7907967,144.985865,-38.1109156,144.6541725,47193.0,2018-07-06,12:44:09,11530.619999999999,15:56:19,790.23
ID5180410566,2,3,9,-37.8185597,144.9991723,-38.1109156,144.6541725,46702.0,2018-07-13,20:41:27,11336.82,23:50:23,778.55
ID3130522574,1,3,9,-37.822465,145.0058954,-38.1109156,144.6541725,47431.0,2018-23-06,08:01:21,11395.380000000001,11:11:16,59.39
ID3230556880,1,4,5,-37.8033633,145.0110624,-37.813111,144.9335591,8506.0,2018-26-02,04:19:50,2259.959999999999,4:57:29,24.31
